,JP,KR,US
2023-01-01,,,
2023-02-01,5.4155000000000015,1.5904999999999987,0.8299999999999912
2023-03-01,-1.1375000000000028,-3.5549999999999926,4.375
2023-04-01,5.475999999999999,8.610499999999995,0.375
2023-05-01,-1.5584999999999951,-2.6679999999999993,7.825000000000003
2023-06-01,7.5,-2.7775000000000034,5.825000000000003
2023-07-01,11.726500000000001,2.0235000000000056,3.7299999999999898
2023-08-01,-3.2565000000000026,-1.883500000000005,-14.004999999999995
2023-09-01,-9.662500000000009,-3.8349999999999937,-9.774999999999999
2023-10-01,-6.192999999999998,-0.015500000000002956,-5.6200000000000045
2023-11-01,-5.0595,-4.179500000000004,0.9450000000000074
2023-12-01,-1.3405000000000058,-0.46649999999999636,0.9549999999999912
